item,prime,target,condition
1,dog,cat,related
2,bread,butter,related
3,salt,pepper,related
4,king,queen,related
5,doctor,nurse,related
6,sun,moon,related
7,day,night,related
8,hot,cold,related
9,sky,blue,related
10,car,road,related
11,book,page,related
12,milk,cow,related
13,fire,smoke,related
14,tea,coffee,related
15,boy,girl,related
16,apple,fruit,related
17,table,chair,related
18,fish,water,related
19,shoe,foot,related
20,bird,wing,related
21,white,black,related
22,mother,father,related
23,brother,sister,related
24,winter,summer,related
25,left,right,related
26,happy,sad,related
27,big,small,related
28,young,old,related
29,fast,slow,related
30,north,south,related
31,soft,hard,related
32,open,close,related
33,begin,end,related
34,love,hate,related
35,give,take,related
36,wet,dry,related
37,light,dark,related
38,high,low,related
39,thick,thin,related
40,bed,sleep,related
1,lamp,cat,unrelated
2,river,butter,unrelated
3,cloud,pepper,unrelated
4,music,queen,unrelated
5,paper,nurse,unrelated
6,pencil,moon,unrelated
7,saddle,night,unrelated
8,button,cold,unrelated
9,hammer,blue,unrelated
10,jacket,road,unrelated
11,candle,page,unrelated
12,rocket,cow,unrelated
13,violin,smoke,unrelated
14,jungle,coffee,unrelated
15,tunnel,girl,unrelated
16,tractor,fruit,unrelated
17,basket,chair,unrelated
18,ribbon,water,unrelated
19,onion,foot,unrelated
20,kettle,wing,unrelated
21,spoon,black,unrelated
22,carpet,father,unrelated
23,rabbit,sister,unrelated
24,eagle,summer,unrelated
25,mirror,right,unrelated
26,garden,sad,unrelated
27,silver,small,unrelated
28,orange,old,unrelated
29,castle,slow,unrelated
30,bottle,south,unrelated
31,letter,hard,unrelated
32,honey,close,unrelated
33,pillow,end,unrelated
34,sugar,hate,unrelated
35,window,take,unrelated
36,planet,dry,unrelated
37,marble,dark,unrelated
38,velvet,low,unrelated
39,cabin,thin,unrelated
40,statue,sleep,unrelated
41,house,blon,filler
42,tree,trink,filler
43,ball,flem,filler
44,mouse,drask,filler
45,clock,plome,filler
46,plate,krent,filler
47,ship,blive,filler
48,plant,snerf,filler
49,rain,trame,filler
50,snow,glish,filler
51,wind,frop,filler
52,star,blaft,filler
53,ocean,crint,filler
54,soap,slome,filler
55,brush,prand,filler
56,floor,nerb,filler
57,door,tronk,filler
58,shirt,blesk,filler
59,boots,flund,filler
60,ring,grask,filler
61,cup,melsh,filler
62,fork,brin,filler
63,knife,clof,filler
64,bridge,sprot,filler
65,train,tept,filler
66,plane,dring,filler
67,truck,molk,filler
68,bike,famt,filler
69,money,blong,filler
70,coin,crame,filler
71,card,plib,filler
72,game,snib,filler
73,movie,drisp,filler
74,dance,flent,filler
75,song,grond,filler
76,radio,brask,filler
77,phone,clent,filler
78,cake,preb,filler
79,juice,trund,filler
80,glass,smerk,filler
