trial,item,prime,target,condition,response,correct,rt_ms,list
1,12,milk,cow,A,word,1,421,1
2,54,soap,slome,nonword,word,0,526,1
3,24,eagle,summer,B,nonword,0,584,1
4,62,fork,brin,nonword,nonword,1,706,1
5,10,car,road,A,word,1,538,1
6,33,pillow,end,B,word,1,660,1
7,69,money,blong,nonword,nonword,1,648,1
8,79,juice,trund,nonword,nonword,1,617,1
9,34,sugar,hate,B,nonword,0,694,1
10,66,plane,dring,nonword,nonword,1,714,1
11,49,rain,trame,nonword,nonword,1,668,1
12,37,marble,dark,B,word,1,806,1
13,25,mirror,right,B,word,1,657,1
14,56,floor,nerb,nonword,nonword,1,608,1
15,78,cake,preb,nonword,nonword,1,585,1
16,63,knife,clof,nonword,timeout,0,NA,1
17,13,fire,smoke,A,timeout,0,NA,1
18,27,silver,small,B,timeout,0,NA,1
19,52,star,blaft,nonword,timeout,0,NA,1
20,73,movie,drisp,nonword,timeout,0,NA,1
21,28,orange,old,B,timeout,0,NA,1
22,77,phone,clent,nonword,timeout,0,NA,1
23,19,shoe,foot,A,timeout,0,NA,1
24,26,garden,sad,B,timeout,0,NA,1
25,71,card,plib,nonword,timeout,0,NA,1
26,36,planet,dry,B,timeout,0,NA,1
27,76,radio,brask,nonword,timeout,0,NA,1
28,65,train,tept,nonword,timeout,0,NA,1
29,20,bird,wing,A,timeout,0,NA,1
30,16,apple,fruit,A,timeout,0,NA,1
31,5,doctor,nurse,A,timeout,0,NA,1
32,48,plant,snerf,nonword,timeout,0,NA,1
33,29,castle,slow,B,timeout,0,NA,1
34,50,snow,glish,nonword,timeout,0,NA,1
35,67,truck,molk,nonword,timeout,0,NA,1
36,15,boy,girl,A,timeout,0,NA,1
37,61,cup,melsh,nonword,timeout,0,NA,1
38,47,ship,blive,nonword,timeout,0,NA,1
39,39,cabin,thin,B,timeout,0,NA,1
40,35,window,take,B,timeout,0,NA,1
41,18,fish,water,A,timeout,0,NA,1
42,59,boots,flund,nonword,timeout,0,NA,1
43,57,door,tronk,nonword,timeout,0,NA,1
44,9,sky,blue,A,timeout,0,NA,1
45,58,shirt,blesk,nonword,timeout,0,NA,1
46,31,letter,hard,B,timeout,0,NA,1
47,8,hot,cold,A,timeout,0,NA,1
48,70,coin,crame,nonword,timeout,0,NA,1
49,64,bridge,sprot,nonword,timeout,0,NA,1
50,4,king,queen,A,timeout,0,NA,1
51,55,brush,prand,nonword,timeout,0,NA,1
52,75,song,grond,nonword,timeout,0,NA,1
53,40,statue,sleep,B,timeout,0,NA,1
54,30,bottle,south,B,timeout,0,NA,1
55,74,dance,flent,nonword,timeout,0,NA,1
56,51,wind,frop,nonword,timeout,0,NA,1
57,80,glass,smerk,nonword,timeout,0,NA,1
58,14,tea,coffee,A,timeout,0,NA,1
59,38,velvet,low,B,timeout,0,NA,1
60,32,honey,close,B,timeout,0,NA,1
61,7,day,night,A,timeout,0,NA,1
62,53,ocean,crint,nonword,timeout,0,NA,1
63,72,game,snib,nonword,timeout,0,NA,1
64,17,table,chair,A,timeout,0,NA,1
65,60,ring,grask,nonword,timeout,0,NA,1
66,6,sun,moon,A,timeout,0,NA,1
67,11,book,page,A,timeout,0,NA,1
68,68,bike,famt,nonword,timeout,0,NA,1
