trial,item,prime,target,condition,response,correct,rt_ms,list
1,13,fire,smoke,A,word,1,1505,1
2,50,snow,glish,nonword,nonword,1,824,1
3,28,orange,old,B,word,1,958,1
4,63,knife,clof,nonword,nonword,1,943,1
5,49,rain,trame,nonword,nonword,1,1045,1
6,17,table,chair,A,word,1,1002,1
7,12,milk,cow,A,word,1,1034,1
8,48,plant,snerf,nonword,nonword,1,882,1
9,35,window,take,B,word,1,854,1
10,77,phone,clent,nonword,nonword,1,1034,1
11,65,train,tept,nonword,nonword,1,807,1
12,54,soap,slome,nonword,nonword,1,1260,1
13,9,sky,blue,A,word,1,806,1
14,80,glass,smerk,nonword,nonword,1,745,1
15,5,doctor,nurse,A,word,1,870,1
16,53,ocean,crint,nonword,nonword,1,868,1
17,73,movie,drisp,nonword,nonword,1,764,1
18,25,mirror,right,B,word,1,792,1
19,60,ring,grask,nonword,nonword,1,749,1
20,72,game,snib,nonword,nonword,1,702,1
21,66,plane,dring,nonword,nonword,1,765,1
22,6,sun,moon,A,word,1,806,1
23,37,marble,dark,B,nonword,0,1364,1
24,59,boots,flund,nonword,nonword,1,973,1
25,10,car,road,A,word,1,824,1
26,68,bike,famt,nonword,nonword,1,718,1
27,8,hot,cold,A,word,1,776,1
28,55,brush,prand,nonword,nonword,1,824,1
29,40,statue,sleep,B,word,1,1046,1
30,30,bottle,south,B,word,1,1214,1
31,36,planet,dry,B,word,1,1482,1
32,52,star,blaft,nonword,nonword,1,825,1
33,39,cabin,thin,B,word,1,809,1
34,34,sugar,hate,B,word,1,882,1
35,11,book,page,A,word,1,718,1
36,78,cake,preb,nonword,nonword,1,719,1
37,67,truck,molk,nonword,nonword,1,793,1
38,31,letter,hard,B,word,1,731,1
39,24,eagle,summer,B,word,1,809,1
40,38,velvet,low,B,word,1,1168,1
41,75,song,grond,nonword,nonword,1,795,1
42,57,door,tronk,nonword,nonword,1,1604,1
43,58,shirt,blesk,nonword,nonword,1,734,1
44,29,castle,slow,B,word,1,778,1
45,15,boy,girl,A,word,1,719,1
46,19,shoe,foot,A,word,1,780,1
47,64,bridge,sprot,nonword,nonword,1,929,1
48,32,honey,close,B,word,1,1016,1
49,14,tea,coffee,A,nonword,0,779,1
50,56,floor,nerb,nonword,nonword,1,762,1
51,71,card,plib,nonword,nonword,1,702,1
52,27,silver,small,B,nonword,0,764,1
53,16,apple,fruit,A,word,1,611,1
54,61,cup,melsh,nonword,nonword,1,675,1
55,76,radio,brask,nonword,nonword,1,701,1
56,4,king,queen,A,word,1,554,1
57,69,money,blong,nonword,nonword,1,718,1
58,20,bird,wing,A,word,1,751,1
59,74,dance,flent,nonword,nonword,1,642,1
60,62,fork,brin,nonword,nonword,1,689,1
61,7,day,night,A,nonword,0,690,1
62,26,garden,sad,B,word,1,644,1
63,18,fish,water,A,word,1,643,1
64,51,wind,frop,nonword,nonword,1,581,1
65,79,juice,trund,nonword,nonword,1,689,1
66,70,coin,crame,nonword,nonword,1,612,1
67,47,ship,blive,nonword,nonword,1,766,1
68,33,pillow,end,B,nonword,0,567,1
